date,shift,line,qty,monthly_capa_qty_shift
2026-09-01,야간,A2,1174900,19250000
2026-09-01,주간,A2,1465643,19250000
2026-09-02,야간,A2,1030681,19250000
2026-09-02,주간,A2,1352740,19250000
2026-09-03,야간,A2,1142381,19250000
2026-09-03,주간,A2,1453008,19250000
2026-09-04,야간,A2,1141397,19250000
2026-09-04,주간,A2,1428074,19250000
2026-09-05,야간,A2,791858,19250000
2026-09-05,주간,A2,1014217,19250000
2026-09-06,야간,A2,718523,19250000
2026-09-06,주간,A2,940704,19250000
2026-09-07,야간,A2,1118035,19250000
2026-09-07,주간,A2,1509715,19250000
2026-09-08,야간,A2,1126351,19250000
2026-09-08,주간,A2,1294399,19250000
2026-09-09,야간,A2,1229615,19250000
2026-09-09,주간,A2,1432560,19250000
2026-09-10,야간,A2,1003458,19250000
2026-09-10,주간,A2,1390214,19250000
2026-09-11,야간,A2,1003941,19250000
2026-09-11,주간,A2,1236394,19250000
2026-09-12,야간,A2,785598,19250000
2026-09-12,주간,A2,1013213,19250000
2026-09-13,야간,A2,708892,19250000
2026-09-13,주간,A2,986226,19250000
2026-09-14,야간,A2,949789,19250000
2026-09-14,주간,A2,1207911,19250000
2026-09-15,야간,A2,1085681,19250000
2026-09-15,주간,A2,1322395,19250000
2026-09-16,야간,A2,1017734,19250000
2026-09-16,주간,A2,1265153,19250000
2026-09-01,야간,A3,703537,10000000
2026-09-01,주간,A3,780710,10000000
2026-09-02,야간,A3,593925,10000000
2026-09-02,주간,A3,725068,10000000
2026-09-03,야간,A3,586397,10000000
2026-09-03,주간,A3,684089,10000000
2026-09-04,야간,A3,673088,10000000
2026-09-04,주간,A3,716737,10000000
2026-09-05,야간,A3,411537,10000000
2026-09-05,주간,A3,489663,10000000
2026-09-06,야간,A3,399467,10000000
2026-09-06,주간,A3,441189,10000000
2026-09-07,야간,A3,580442,10000000
2026-09-07,주간,A3,707887,10000000
2026-09-08,야간,A3,464486,10000000
2026-09-08,주간,A3,657087,10000000
2026-09-09,야간,A3,704898,10000000
2026-09-09,주간,A3,775737,10000000
2026-09-10,야간,A3,618486,10000000
2026-09-10,주간,A3,686296,10000000
2026-09-11,야간,A3,484278,10000000
2026-09-11,주간,A3,573183,10000000
2026-09-12,야간,A3,384653,10000000
2026-09-12,주간,A3,468578,10000000
2026-09-13,야간,A3,382359,10000000
2026-09-13,주간,A3,530290,10000000
2026-09-14,야간,A3,471953,10000000
2026-09-14,주간,A3,594849,10000000
2026-09-15,야간,A3,619292,10000000
2026-09-15,주간,A3,669462,10000000
2026-09-16,야간,A3,545623,10000000
2026-09-16,주간,A3,632154,10000000
2026-09-01,야간,A4,509776,10000000
2026-09-01,주간,A4,712494,10000000
2026-09-02,야간,A4,493473,10000000
2026-09-02,주간,A4,650619,10000000
2026-09-03,야간,A4,520503,10000000
2026-09-03,주간,A4,619080,10000000
2026-09-04,야간,A4,589600,10000000
2026-09-04,주간,A4,723953,10000000
2026-09-05,야간,A4,403134,10000000
2026-09-05,주간,A4,454416,10000000
2026-09-06,야간,A4,399151,10000000
2026-09-06,주간,A4,440081,10000000
2026-09-07,야간,A4,556673,10000000
2026-09-07,주간,A4,661696,10000000
2026-09-08,야간,A4,500085,10000000
2026-09-08,주간,A4,623297,10000000
2026-09-09,야간,A4,597657,10000000
2026-09-09,주간,A4,786994,10000000
2026-09-10,야간,A4,522431,10000000
2026-09-10,주간,A4,638961,10000000
2026-09-11,야간,A4,418024,10000000
2026-09-11,주간,A4,589034,10000000
2026-09-12,야간,A4,396370,10000000
2026-09-12,주간,A4,466845,10000000
2026-09-13,야간,A4,357864,10000000
2026-09-13,주간,A4,461416,10000000
2026-09-14,야간,A4,468329,10000000
2026-09-14,주간,A4,600417,10000000
2026-09-15,야간,A4,596517,10000000
2026-09-15,주간,A4,672318,10000000
2026-09-16,야간,A4,532424,10000000
2026-09-16,주간,A4,636368,10000000
