product,product_type,lot_id,production_date,remaining_qty
아이폰18,Phone,LOT-아이폰-0000,2026-06-02,104700
아이폰18,Phone,LOT-아이폰-0001,2026-08-18,513900
아이폰18,Phone,LOT-아이폰-0002,2026-08-08,515200
아이폰18,Phone,LOT-아이폰-0003,2026-09-15,514700
아이폰18,Phone,LOT-아이폰-0004,2026-08-10,515300
아이폰18,Phone,LOT-아이폰-0005,2026-09-15,513700
아이폰18,Phone,LOT-아이폰-0006,2026-08-20,513900
아이폰18,Phone,LOT-아이폰-0007,2026-08-18,514000
아이폰18,Phone,LOT-아이폰-0008,2026-09-13,514300
아이폰18,Phone,LOT-아이폰-0009,2026-08-23,514500
아이폰18,Phone,LOT-아이폰-0010,2026-09-03,514900
아이폰18 프로,Phone,LOT-아이폰-0000,2026-06-27,911700
아이폰18 프로,Phone,LOT-아이폰-0001,2026-08-30,574200
아이폰18 프로,Phone,LOT-아이폰-0002,2026-08-31,573100
아이폰18 프로,Phone,LOT-아이폰-0003,2026-08-17,572900
아이폰18 프로,Phone,LOT-아이폰-0004,2026-08-13,573000
아이폰18 프로,Phone,LOT-아이폰-0005,2026-08-25,573600
아이폰18 프로,Phone,LOT-아이폰-0006,2026-09-12,574900
아이폰18 프로,Phone,LOT-아이폰-0007,2026-09-14,572900
아이폰18 프로,Phone,LOT-아이폰-0008,2026-09-01,573500
아이폰18 프로,Phone,LOT-아이폰-0009,2026-09-15,574800
아이폰18 듀오,Phone,LOT-아이폰-0000,2026-07-03,81700
아이폰18 듀오,Phone,LOT-아이폰-0001,2026-08-17,501800
아이폰18 듀오,Phone,LOT-아이폰-0002,2026-08-11,502100
아이폰18 듀오,Phone,LOT-아이폰-0003,2026-08-18,502300
아이폰18 듀오,Phone,LOT-아이폰-0004,2026-08-24,502000
아이폰18 듀오,Phone,LOT-아이폰-0005,2026-08-09,503400
아이폰18 듀오,Phone,LOT-아이폰-0006,2026-09-09,502000
아이폰18 듀오,Phone,LOT-아이폰-0007,2026-08-28,501800
아이폰18 듀오,Phone,LOT-아이폰-0008,2026-08-10,501500
갤럭시Z폴드8,Phone,LOT-갤럭시-0000,2026-06-12,226000
갤럭시Z폴드8,Phone,LOT-갤럭시-0001,2026-08-23,373000
